OBJECTID,admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
270,Sorata,BO020601,NA,NA,NA,Larecaja,BO0206,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
271,Sucre,BO010101,NA,NA,NA,Oropeza,BO0101,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
272,Tacachi,BO031404,NA,NA,NA,Punata,BO0314,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
273,Tacacoma,BO020603,NA,NA,NA,Larecaja,BO0206,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
274,Tacobamba,BO050303,NA,NA,NA,Cornelio Saavedra,BO0503,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
275,Tacopaya,BO030602,NA,NA,NA,Arque,BO0306,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
276,Tahua,BO051402,NA,NA,NA,Daniel Campos,BO0514,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
277,Tapacarí,BO031101,Tapacari,NA,NA,Tapacarí,BO0311,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
278,Tarabuco,BO010601,NA,NA,NA,Yamparáez,BO0106,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
279,Taraco,BO020807,NA,NA,NA,Ingavi,BO0208,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
280,Tarata,BO030401,NA,NA,NA,Esteban Arze,BO0304,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
281,Tarija,BO060101,NA,NA,NA,Cercado,BO0601,Tarija,BO06,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
282,Tarvita,BO010202,NA,NA,NA,Azurduy,BO0102,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
283,Teoponte,BO020608,NA,NA,NA,Larecaja,BO0206,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
284,Tiahuanacu,BO020803,NA,NA,NA,Ingavi,BO0208,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
285,Tinguipaya,BO050102,NA,NA,NA,Tomás Frías,BO0501,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
286,Tipuani,BO020606,NA,NA,NA,Larecaja,BO0206,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
287,Tiquipaya,BO030903,NA,NA,NA,Quillacollo,BO0309,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
